Component Name,Product Name,Category,Type,Quantity,Estimated Cost- USD,Purchase URL
Front Enclosure Shell,,mechanical,3d_printed,1,$2.5,https://www.amazon.com/s?k=PETG+filament
Rear Enclosure Shell,,mechanical,3d_printed,1,$2.5,https://www.amazon.com/s?k=PETG+filament
Internal Component Frame,,mechanical,3d_printed,1,$2,https://www.amazon.com/s?k=PETG+filament
OLED Display Mount,,mechanical,3d_printed,1,$0.5,https://www.amazon.com/s?k=PETG+filament
Click Wheel Housing,,mechanical,3d_printed,1,$0.75,https://www.amazon.com/s?k=PETG+filament
Center Button Cap,,mechanical,3d_printed,1,$0.1,https://www.amazon.com/s?k=PETG+filament
LiPo Battery Tray,,mechanical,3d_printed,1,$0.5,https://www.amazon.com/s?k=PETG+filament
M2 Mounting Screws,M2x6mm Philips Flat Head Screws,mechanical,misc,12,$0.05,https://www.amazon.com/dp/B0CY5J4NZ5?tag=blueprintam-20&linkCode=osi&th=1&psc=1
M2 Brass Standoffs,M2x5mm Brass Standoffs,mechanical,misc,8,$0.1,https://www.amazon.com/dp/B00R1ISEW0?tag=blueprintam-20&linkCode=osi&th=1&psc=1
M3 Enclosure Screws,M3x8mm Countersunk Screws,mechanical,misc,4,$0.07,https://www.amazon.com/dp/B01D8L4XVE?tag=blueprintam-20&linkCode=osi&th=1&psc=1
M3 Heat-Set Inserts,M3 Heat-Set Threaded Inserts,mechanical,misc,4,$0.15,https://www.alibaba.com/showroom/m3-brass-insert.html
USB-C Port Gasket,,mechanical,3d_printed,1,$0.05,https://www.amazon.com/s?k=PETG+filament
Headphone Jack Support Bracket,,mechanical,3d_printed,1,$0.05,https://www.amazon.com/s?k=PETG+filament
Main Controller Mount,,mechanical,3d_printed,1,$2,
Audio Codec Mount,,mechanical,3d_printed,1,$2,
MicroSD Card Slot Mount,,mechanical,3d_printed,1,$2,
